Name,Biz_Hub,Region
Abebi,Ota,Ogun
MD(Ede),EDE,Oyo
Adegbayi,Akanran,Oyo
Agunbelewo,Ede,Osun
Apomu,Ile-Ife,Osun
BCGA,Apata,Ibadan
MD(Challenge),Challenge,Kwara
MD(Jebba),Jebba,Kwara
MD(Mowe-Ibafo),Mowe-Ibafo,Ogun
Lalupon,Monatan,ibadan
Aladesanmi,Ijeun,Ogun
Awotan,Dugbe,Ibadan
Olorunda,Monatan,oyo
Adigbe,Olumo,Ogun
Adogba,Monatan,Oyo
Aduloju,Ojoo,Oyo
Agba,Challenge,Kwara
Oleyo,Molete,Ibadan
Ago Are,Oyo,Oyo
Ago Iwoye,Ijebu-Ode,Ogun
Agodi,Dugbe,Ibadan
ASHIMOLOWO,MOWE-IBAFO,Ogun
IBAFO 2,MOWE-IBAFO,Ogun
ADESAN,MOWE-IBAFO,Ogun
IMEDU-NLA,MOWE-IBAFO,Ogun
Olomore,Olumo,Ogun
Agugu,Akanran,Oyo
Airport,Akanran,Oyo
Ajegunle,Oyo,Oyo
Ajibode,Dugbe,Ibadan
Ajinde,Molete,Ibadan
Akanfe,Akanran,Oyo
Akanran,Akanran,Oyo
Ake,Ijeun,Ogun
Sawmill,Akanran,Oyo
Akinfenwa,Akanran,Oyo
Akingbile,Ojoo,Oyo
Akinyele,Ojoo,Oyo
Akobo,Monatan,Oyo
Alagbado,Baboko,Kwara
Alakia,Monatan,Oyo
Ipetumodu,Ile-Ife,Osun
Abese,Molete,Ibadan
Alarere,Monatan,Oyo
Alore,Baboko,Kwara
Apata,Apata,Ibadan
Apebi,Ijebu-Ode,Ogun
Apete,Dugbe,Ibadan
Arapaja,Molete,Ibadan
Araromi,Oyo,Oyo
Asero,Ijeun,Ogun
WaterSide,Ijebu-Ode,Ogun
Ashi,Ojoo,Oyo
Awe,Oyo,Oyo
Ayetoro (Baboko),Baboko,Kwara
Ayetoro (Olumo),Olumo,Ogun
Ayetoro (Osogbo),Osogbo,Osun
Baby O,Ota,Ogun
Bashorun,Ojoo,Oyo
Bodija,Ojoo,Oyo
Bolorunduro,Ilesa,Osun
Boluwaji,Molete,Ibadan
Borehole,Ota,Ogun
Challenge,Molete,Ibadan
Cottage,Ede,Osun
Efon Alaye,Ilesa,Osun
Egbe,omuaran,Kwara
Egbeda,Monatan,Oyo
Ejigbo,Ede,Osun
Elebu,Molete,Ibadan
Elega,Ijeun,Ogun
Eleyele,Dugbe,Ibadan
Erelu,Oyo,Oyo
Eruwa,Apata,Ibadan
Esa Oke,Ilesa,Osun
Estate(Monatan),Monatan,Oyo
Eweta,Ikirun,Osun
Ewupe,Ota,Ogun
Eyita,Sagamu,Ogun
Fajuyi,Ile-Ife,Osun
Feesu,Ede,Osun
Felele,Molete,Ibadan
Foko,Dugbe,Ibadan
Ganmo,Challenge,Kwara
Gasline,Sango,Ogun
Gbagi,Akanran,Oyo
Gbaremu,Akanran,Oyo
Gbongan,Ile-Ife,Osun
GRA (Challenge),Challenge,Kwara
GRA (Ijeun),Ijeun,Ogun
GRA (Osogbo),Osogbo,Osun
Hajj Camp,Monatan,Oyo
High School,Ogbomoso,Kwara
Ibadan Garage,Ijebu-Ode,Ogun
Ibafo 1,MOWE-IBAFO,Ogun
Iberekodo,Olumo,Ogun
Ibode Olude,Ijeun,Ogun
Ibokun,Ilesa,Osun
Idi-Ishin,Apata,Ibadan
Idi-Ogun,omuaran,Kwara
Idiroko,Ota,Ogun
Ido-Osun,Ede,Osun
Idowa,Ijebu-Ode,Ogun
Ifo 1,Sango,Ogun
Ifo 2,Sango,Ogun
Ifon,Ede,Osun
Iyesi 1,Ota,Ogun
Iyesi 2,Ota,Ogun
Taiwo,Baboko,Kwara
Unity,Baboko,Kwara
Ero-Omo,Challenge,Kwara
Ado Odo,OTA,Ogun
ikenne,Sagamu,Ogun
Ofa Tedo,Ede,Osun
Iganmode,Ota,Ogun
Igbo Oloyin,Ojoo,Oyo
Igbobi 1,Sagamu,Ogun
Igbobi 2,Sagamu,Ogun
Ijako,Sango,Ogun
Ijamido,Ota,Ogun
ijebu-jesa,Ilesa,Osun
Ijebu-Ife,Ijebu-Ode,Ogun
Ijebu-Igbo,Ijebu-Ode,Ogun
Ikire,Ile-Ife,Osun
Ikoto,Ijebu-Ode,Ogun
Ila,ikirun,Osun
Ilaje,Ilesa,Osun
Oke agbo,Ijebu-Ode,Ogun
Itele,Ota,Ogun
Oko,Ede,Osun
Ife-odo,Ede,Osun
Ilaro,Sango,Ogun
Illobu,Ede,Osun
Ilofa,omuaran,Kwara
Ilogbo,Ota,Ogun
Ilora,Oyo,Oyo
Ilorin Road,Ogbomoso,Kwara
Imo (Ijeun),Ijeun,Ogun
Imo (Ilesha),Ilesa,Osun
Imowo,Ijebu-Ode,Ogun
Inisa,Ikirun,Osun
Ipamesan,Sango,Ogun
Iperu,Sagamu,Ogun
Ipetu (Ife),Ile-Ife,Osun
Ipetu-jesa,Ilesa,Osun
Iragbiji,Ikirun,Osun
Iree,Ikirun,Osun
Irewolede,Challenge,Kwara
Isale-Oyo,Oyo,Oyo
Isare,Ilesa,Osun
Isokun,Ilesa,Osun
Ita Osin,Olumo,Ogun
Itelle,Ota,Ogun
Itori 1,Olumo,Ogun
Itori 2,Olumo,Ogun
Iwo,Ede,Osun
Estate(Ota),Ota,Ogun
Iwo-Road,Monatan,Oyo
Iyana,Ota,Ogun
Iyana Church,Monatan,Oyo
Iyesi,Ota,Ogun
Jebba,Jebba,Kwara
Jericho,Dugbe,Ibadan
Jobele,Oyo,Oyo
Kajola,Monatan,Oyo
Atiba,Ijebu-Ode,Ogun
IJEBU-ODE GRA,Ijebu-Ode,Ogun
Kelebe1,Osogbo,Osun
Kelebe2,Osogbo,Osun
Kemta,Ijeun,Ogun
Kishi,Baboko,Kwara
Kolobo,Olumo,Ogun
Koso,Oyo,Oyo
Kulende,Baboko,Kwara
Lafenwa (Olumo),Olumo,Ogun
Lafenwa (Ota),Ota,Ogun
Liberty,Molete,Ibadan
Lusada,Ota,Ogun
Magboro,MOWE-IBAFO,Ogun
Mokola,Dugbe,Ibadan
Mokwa,Jebba,Kwara
Moniya,Ojoo,Oyo
New Bussa,Jebba,Kwara
Obantoko,Ijeun,Ogun
Odeda,Ijeun,Ogun
Odo Oba,Ogbomoso,Kwara
Odo-Ona,Molete,Ibadan
Odofun,Ikirun,Osun
Odogbolu,Sagamu,Ogun
Ogbaagba,Ede,Osun
Ogijo,Sagamu,Ogun
Ogooluwa,Osogbo,Osun
Oja Igbo,Ogbomoso,Kwara
Oja Timi,Ede,Osun
Oje,Akanran,Oyo
Ojoo,Ojoo,Oyo
Oke Aro 1,Sango,Ogun
Oke Ayepe,Osogbo,Osun
Oke Ebo,Oyo,Oyo
Orisumbare,Apata,Ibadan
MD(Apata),Apata,Ibadan
Oke-Ado,Molete,Ibadan
Akeja,Ota,Ogun
town,Ota,Ogun
Iju,Ota,Ogun
Atan,Ota,Ogun
Ayepe,Sagamu,Ogun
Isapade,Sagamu,Ogun
MD(Sagamu),Sagamu,Ogun
HOSPITAL ROAD,Sagamu,Ogun
Ifo Abekoko,sango,Ogun
Ifo Arigbajo,Sango,Ogun
Ifo Ayede,Sango,Ogun
Ifo cooker,Sango,Ogun
ijako 1,Sango,Ogun
ijako 2,Sango,Ogun
Oke ola,Sango,Ogun
Oke-Owa,Ijebu-Ode,Ogun
Okeho,Oyo,Oyo
Okesoda,Ile-Ife,Osun
Okinni,Ede,Osun
Olodo,Monatan,Oyo
Ologuneru,Apata,Ibadan
Olomi,Akanran,Oyo
Olorunsogo,Akanran,Oyo
Olubadan,Monatan,Oyo
Olunde,Akanran,Oyo
Olunlade,Challenge,Kwara
Oluwo,Akanran,Oyo
Oluwole,Oyo,Oyo
Oluyole,Apata,Ibadan
Omi-Adio,Apata,Ibadan
Omuaran,omuaran,Kwara
Orile Ilugun,Ijeun,Ogun
Oritamerin,omuaran,Kwara
Oro,omuaran,Kwara
Orogun,Ojoo,Oyo
Oru,Ijebu-Ode,Ogun
Osogbo1,Osogbo,Osun
Osogbo2,Osogbo,Osun
Osu,Ilesa,Osun
Ota Efun,Osogbo,Osun
Ote,Baboko,Kwara
Otu,Oyo,Oyo
Owode (Ede),Ede,Osun
Owode (Ogbomoso),Ogbomoso,Kwara
Owode (Omuaran),omuaran,Kwara
Owode (Ota),Ota,Ogun
Owode (Oyo),Oyo,Oyo
Owode Egba,MOWE-IBAFO,Ogun
Owode Ijako,Sango,Ogun
Oyun,Baboko,Kwara
Papalanto,Sango,Ogun
Rounder,Olumo,Ogun
Sabo (Ijebu-Ode),Ijebu-Ode,Ogun
Sabo (Sagamu),Sagamu,Ogun
Saki,Oyo,Oyo
Sango,Dugbe,Ibadan
Sapon,Olumo,Ogun
Shao,Baboko,Kwara
Share,Jebba,Kwara
Station Road,Ikirun,Osun
Takie,Ogbomoso,Kwara
Temidire,Sango,Ogun
Yawuri,Monatan,Oyo
